,Film,Director,Cast
110,Reversal of Fortune,Barbet Schroeder,Alan Pottinger:Annabella Sciorra:Christine Baranski:Christine Dunford:Felicity Huffman:Fisher Stevens:Jack Gilpin:Johann Carlo:Keith Reddin:Mano Singh:Ron Silver:Stephen Mailer:Uta Hagen
111,David Byrne’s American Utopia,Spike Lee,null
112,Shoplifters,null,null
113,Shoah: Four Sisters,null,null
114,The 39 Steps,null,null
115,Duck Soup,Leo McCarey,Charles Middleton:Edgar Kennedy:Edward Arnold:Sidney Bracey:Wade Boteler
116,Petite Maman,Céline Sciamma,null
117,Days of Heaven,Terrence Malick,Bob Wilson:Doug Kershaw:Frenchie Lemond:Gene Bell:Jackie Shultis:Linda Manz:Muriel Jolliffe:Richard Libertini:Robert J. Wilke:Sahbra Markus:Sam Shepard:Stuart Margolin:Timothy Scott
118,Toni Erdmann,Maren Ade,Alexandru Papadopol:Anna Maria Bergold:Hadewych Minis:Ingrid Bisu:Ingrid Burkhard:Ioan Brancu:Jürg Löw:Lucy Russell:Manuela Ciucur:Michael Wittenborn:Nicolas Wackerbarth:Niels Bormann:Peter Simonischek:Radu Banzaru:Ruth Reinecke:Sandra Hüller:Thomas Loibl:Trystan Pütter:Victoria Cocias:Victoria Malektorovych:Vlad Ivanov
119,Yi Yi,Edward Yang,Adriene Lin:An-an Hsu:Chuan-cheng Tao:Elaine Jin:Hsi-Sheng Chen:Hsin-Yi Tseng:Issei Ogata:Jonathan Chang:Kelly Lee:Pang Chang Yu:Ru-Yun Tang:Shu-shen Hsiao:Shu-Yuan Hsu:Su-Yun Ko:Yiwen Chen:Yung-Feng Lee
120,McCabe & Mrs. Miller,Robert Altman,Antony Holland:Hugh Millais:Jace Van Der Veen:Jackie Crossland:Manfred Schulz
121,The Best Years of Our Lives,null,null
122,Stagecoach,John Ford,Chief John Big Tree:Dorothy Appleby:Frank Baker:Ted Billings:Tom Tyler
123,Inside Llewyn Davis,null,null
124,Sherpa,Jennifer Peedom,null
125,There Will Be Blood,Paul Thomas Anderson,Barry Del Sherman:Coco Leigh:Dillon Freasier:Erica Sullivan:Harrison Taylor:Jacob Stringer:Jim Meskimen:Joseph Mussey:Kevin Breznahan:Martin Stringer:Matthew Braden Stringer:Paul F. Tompkins:Randall Carver:Stockton Taylor
126,Badlands,null,null
127,The Last Picture Show,Peter Bogdanovich,Barc Doyle:Bill Thurman:Jessie Lee Fulton:Joe Heathcock:Randy Quaid
128,Do the Right Thing,Spike Lee,Bill Nunn:Frankie Faison:Giancarlo Esposito:John Savage:John Turturro:Joie Lee:Miguel Sandoval:Paul Benjamin:Richard Edson:Rick Aiello:Robin Harris:Spike Lee
129,Sita Sings the Blues,null,null
130,The Decline of Western Civilization,Penelope Spheeris,Bill Gazzarri:Fear:Frank Gargani:John Doe:Lorna Doom
131,Rio Bravo,Howard Hawks,Frank Balderrama:Fred Aldrich:Harry Carey Jr.:Malcolm Atterbury:Sheb Wooley
132,Brother's Keeper,Bruce Sinofsky Joe Berlinger,Connie Chung:Donald F. Cerio:John W. Graham:Maynard A. Cosnett:Robert J. Killough
133,Crumb,Terry Zwigoff,Aline Kominsky:Beatrice Crumb:Bill Griffith:Charles Crumb:Dana Morgan:Deirdre English:Don Donahue:Kathy Goodell:Martin Müller:Maxon Crumb:Peggy Orenstein:Robert Hughes:Spain Rodriguez:Trina Robbins
134,Spotlight,Thomas McCarthy,Billy Crudup:Brian d'Arcy James:Christopher Gallagher:Dallas Peplow:Doug Murray:Duane Murray:Elena Juatco:Elena Wohl:Faith Fay:Gary Galone:Gene Amoroso:Jamey Sheridan:John Slattery:Lana Antonova:Len Cariou:Liev Schreiber:London Hall:Mark Ruffalo:Michael Cyril Creighton:Michael Keaton:Neal Huff:Paul Guilfoyle:Rachel McAdams:Rob deLeeuw:Robert B. Kennedy:Sharon McFarlane:Shawn Contois:Stanley Tucci:Stefanie Drummond:Zarrin Darnell-Martin
135,The Band Wagon,Vincente Minnelli,Barbara Bailey:Brandon Beach:Ernest Anderson:Lysa Baugher:Patsy Bangs
136,One More Time with Feeling,Andrew Dominik,Nick Cave:Nick Cave & the Bad Seeds:Nick Cave & The Bad Seeds:Warren Ellis
